0,1,2,3,4,5,6,7,8,9,10,Overs
34.8,34.8,34.7,34.5,34,32.5,28.6,20.1,8.4,1.8,0,17.2
35.2,35.1,35.1,34.9,34.3,32.8,28.8,20.2,8.4,1.8,0,17.3
35.5,35.5,35.4,35.2,34.7,33.1,29,20.3,8.4,1.8,0,17.4
35.8,35.8,35.7,35.5,35,33.4,29.3,20.4,8.4,1.8,0,17.5
,,,,,,,,,,,17.6
,,,,,,,,,,,17.7
,,,,,,,,,,,17.8
,,,,,,,,,,,17.9
36.2,36.1,36.1,35.9,35.3,33.7,29.5,20.5,8.4,1.8,0,18
36.5,36.5,36.4,36.2,35.6,34,29.7,20.6,8.4,1.8,0,18.1
36.8,36.8,36.7,36.5,35.9,34.3,29.9,20.7,8.4,1.8,0,18.2
37.2,37.1,37.1,36.8,36.2,34.5,30.1,20.7,8.4,1.8,0,18.3
37.5,37.5,37.4,37.2,36.6,34.8,30.4,20.8,8.5,1.8,0,18.4
37.8,37.8,37.7,37.5,36.9,35.1,30.6,20.9,8.5,1.8,0,18.5
,,,,,,,,,,,18.6
,,,,,,,,,,,18.7
,,,,,,,,,,,18.8
,,,,,,,,,,,18.9
38.2,38.1,38,37.8,37.2,35.4,30.8,21,8.5,1.8,0,19
38.5,38.5,38.4,38.2,37.5,35.7,31,21.1,8.5,1.8,0,19.1
38.8,38.8,38.7,38.5,37.8,36,31.2,21.2,8.5,1.8,0,19.2
39.2,39.1,39,38.8,38.1,36.3,31.4,21.3,8.5,1.8,0,19.3
39.5,39.5,39.4,39.1,38.5,36.5,31.6,21.4,8.5,1.8,0,19.4
39.8,39.8,39.7,39.5,38.8,36.8,31.8,21.4,8.5,1.8,0,19.5
,,,,,,,,,,,19.6
,,,,,,,,,,,19.7
,,,,,,,,,,,19.8
,,,,,,,,,,,19.9
40.2,40.1,40,39.8,39.1,37.1,32,21.5,8.5,1.8,0,20
40.5,40.5,40.4,40.1,39.4,37.4,32.3,21.6,8.5,1.8,0,20.1
40.8,40.8,40.7,40.4,39.7,37.7,32.5,21.7,8.5,1.8,0,20.2
41.2,41.1,41,40.8,40,38,32.7,21.8,8.5,1.8,0,20.3
41.5,41.5,41.4,41.1,40.4,38.2,32.9,21.8,8.5,1.8,0,20.4
41.8,41.8,41.7,41.4,40.7,38.5,33.1,21.9,8.5,1.8,0,20.5
,,,,,,,,,,,20.6
,,,,,,,,,,,20.7
,,,,,,,,,,,20.8
,,,,,,,,,,,20.9
42.2,42.1,42,41.8,41,38.8,33.3,22,8.5,1.8,0,21
42.5,42.5,42.4,42.1,41.3,39.1,33.5,22.1,8.5,1.8,0,21.1
42.8,42.8,42.7,42.4,41.6,39.4,33.7,22.1,8.5,1.8,0,21.2
43.2,43.1,43,42.7,41.9,39.7,33.9,22.2,8.5,1.8,0,21.3
43.5,43.5,43.4,43.1,42.2,39.9,34.1,22.3,8.5,1.8,0,21.4
43.8,43.8,43.7,43.4,42.6,40.2,34.3,22.4,8.5,1.8,0,21.5
,,,,,,,,,,,21.6
,,,,,,,,,,,21.7
,,,,,,,,,,,21.8
,,,,,,,,,,,21.9
44.2,44.1,44,43.7,42.9,40.5,34.5,22.4,8.5,1.8,0,22
44.5,44.4,44.3,44,43.2,40.8,34.7,22.5,8.5,1.8,0,22.1
44.8,44.8,44.7,44.4,43.5,41.1,34.9,22.6,8.5,1.8,0,22.2
45.2,45.1,45,44.7,43.8,41.3,35.1,22.6,8.5,1.8,0,22.3
45.5,45.4,45.3,45,44.1,41.6,35.3,22.7,8.5,1.8,0,22.4
45.8,45.8,45.7,45.3,44.4,41.9,35.5,22.8,8.5,1.8,0,22.5
,,,,,,,,,,,22.6
,,,,,,,,,,,22.7
,,,,,,,,,,,22.8
,,,,,,,,,,,22.9
46.2,46.1,46,45.7,44.7,42.2,35.7,22.8,8.5,1.8,0,23
46.5,46.4,46.3,46,45.1,42.4,35.9,22.9,8.5,1.8,0,23.1
46.8,46.8,46.7,46.3,45.4,42.7,36.1,23,8.5,1.8,0,23.2
47.2,47.1,47,46.7,45.7,43,36.2,23,8.5,1.8,0,23.3
47.5,47.4,47.3,47,46,43.3,36.4,23.1,8.5,1.8,0,23.4
47.8,47.8,47.7,47.3,46.3,43.6,36.6,23.2,8.5,1.8,0,23.5
,,,,,,,,,,,23.6
,,,,,,,,,,,23.7
,,,,,,,,,,,23.8
,,,,,,,,,,,23.9
48.2,48.1,48,47.6,46.6,43.8,36.8,23.2,8.5,1.8,0,24
48.5,48.4,48.3,48,46.9,44.1,37,23.3,8.5,1.8,0,24.1
48.8,48.8,48.6,48.3,47.2,44.4,37.2,23.3,8.5,1.8,0,24.2
49.2,49.1,49,48.6,47.6,44.6,37.4,23.4,8.5,1.8,0,24.3
